"SupplierDB","MainDB"
"oatmeal (gluten)","Oats, rolled, not enriched"
"lime leaf","Lime juice"
"extra vigin olive oil autolysed yeast","Yeast, bakers, compressed"
"ham hock","Pork, ham, boiled, sliced"
"teriyaki sauce","Sauce, barbeque"
"animal l rennet","Animal fat"
"contains firming agent","Apple pectin"
"soybean paste miso white","Beans, soy, dried, raw"
"herb & spice extract","Herbs, dried"
"stabiliser (e415)","Apple pectin"
"dijon mustard  contains","Mustard, yellow, ready made"
"antioxidant ascorbic acid (e300)","Apple pectin"
"hard boiled eggs","Eggs, chicken, free-range hens (indoor), raw"
"nitrite salt e250/251","Salt, table"
"red pepper and salt","Pepper, sweet, red, raw"
"damson flavour","Plum, raw"
"water dijon","Water, tap, drinking, average values"
"preservative [potassium nitrate (e252)]","Apple pectin"
"spirit vinegar dijon","Balsamic vinegar"
"preservatives (e252)","Apple pectin"
"vitamin b1 (thiamin)","Apple pectin"
"canadian maple syrup","Maple syrup"
"riboflavin.","Apple pectin"
"e296","Apple pectin"
"cardamon","Cardamom"
"edible artificial casing","Apple pectin"
"concentrated orange juice","Orange juice"
"cos","Lettuce, looseleaf, raw"
"roquito sweet chilli peppers","Pepper, hot chili, raw"
"puffed wheat","Wheat, flour, wholemeal"
"cloud ear","Mushroom, raw"
"black bomber (milk)","Cheese, firm, Danbo, 45 % fidm."
"what flour","Wheat, flour, wholemeal"
"jalapeno pepper spice mix","Jalapenos"
"sodium citrates","Baking powder"
"marjoram rubbed ht","Marjoram"
"salt and black pepper","Salt, table"
"cold pressed rapeseed oil","Oil, rape seed (no eruca acid)"
"diced red pepper","Pepper, sweet, red, raw"
"organic cows milk","Milk, whole, 3.5 % fat"
"organic chilli","Pepper, hot chili, raw"
"blackcurrant pulp","Currant, black, raw"
"natural pear flavour","Pear, raw"
"e492","Apple pectin"
"seasalt","Salt, table"
"pinenuts","Pine nuts"
"carotene","Apple pectin"
"truffle butter","Butter, salt added"
"anglesey sea salt pdo","Salt, table"
"geotrichum yeast culture","Yeast, bakers, compressed"
"five spice blend","Spices"
"acidity regulator  [citric acid (e330)]","Apple pectin"
"chicken extract","Bouillon, chicken, prepared"
"currants","Currant, black, raw"
"defatted soybeans","Beans, soy, dried, raw"
"preservative (e250).","Apple pectin"
"iberian lean","Air-dried meat"
"whole kalamata bullets  contains","Olives, green, pickled, canned"
"unrefined raw cane sugar","Sugar, white"
"strawberry & raspberry fruit prep","Strawberry, raw"
"tocopherol-rich extract e306","Apple pectin"
"raising agent [sodium bicarbonate (e500)]","Baking powder"
"dried egg yolk","Eggs, chicken, free-range hens (indoor), raw"
"ascorbic acid; firming agent","Apple pectin"
"beetroot juice.","Beetroot juice"
"thickener (e1420)","Apple pectin"
"green tomatoes","Tomato, ripe, raw, origin unknown"
"strawberry yogurt","Yogurt plain, whole milk"
"cheddar westcombe cheese","Cheese, firm, Danbo, 45 % fidm."
"e252 preservative.","Apple pectin"
"organic cumin","Cumin"
"preservative e235","Apple pectin"
"salt  contains anti-caking agent [sodium ferrocyanide (e535)]","Salt, table"
"sulphite ammonia caramel e150d","Apple pectin"
"with calcium carbonate","Apple pectin"
"salt contains","Salt, table"
"pitted nocellara olives","Olives, black, without stones, in brine"
"salt contains anticacking-agent","Salt, table"
"white wine vinegar contains sulphites .","Sherry vinegar"
"potassium metabisulphite.","Apple pectin"
"lactic acid culture trace","Yeast, bakers, compressed"
"veal jus","Veal, medium fat, raw"
"derby cheese","Cheese, firm, Danbo, 45 % fidm."
"rehydrated avocado","Avocado, raw"
"fermented rice extract  spirit vinegar","Rice vinegar"
"ground cumin.","Cumin"
"1","Water, tap, drinking, average values"
"barley starch (gluten free)","Starch (wheat)"
"colour (annatto norbixin)","Apple pectin"
"propionic acid bacteria","Yeast, bakers, compressed"
"dried oregano.","Oregano, dried"
"green apple","Apple, raw, all varieties"
"sweet rennet whey","Vegetable fat"
"e250 preservative","Apple pectin"
"zucchini (cucurbita pepo)","Courgette (zucchini)"
"koji seeds","Sunflower seeds"
"vegetable oils contain","Sunflower oil"
"paprika extract.","Paprika (powder)"
"applewood smoke","Paprika (powder)"
"sliced suffolk salami","Sausage, salami"
"marc de bourgogne.","Brandy, cognac"
"natural colour (anthocyanins)","Apple pectin"
"herb.","Herbs, dried"
"cashews roasted","Cashew nuts, dry roasted"
"triphosphates","Apple pectin"
"flavour enhancer e-621","Apple pectin"
"colour .","Apple pectin"
"pureed garlic","Garlic, raw"
"sundried tomato paste  contains rapeseed oil","Sundried tomatoes"
"preservative (e250)made with 100g of raw pork per 100g of finished product.","Pork, loin, lean, raw"
"greek style yoghurt","Yogurt plain, whole milk"
"two gelling agents","Apple pectin"
"limes","Lime juice"
"raisins yellow","Raisins, seedless"
"brie (milk)","Cheese, Brie, 45 % fidm."
"wheat.","Wheat, flour, wholemeal"
"animal rennet. linconshare poacher","Vegetable fat"
"a blend of non-eu honeys","Honey"
"cream (cows milk)","Cream, cultured, 18 % fat"
"ferrous gluconate.","Sugar, white"
"acidity regulators flavour enhancer (e621)","Apple pectin"
"ground ginger.","Ginger root, raw"
"sg29 culture","Yeast, bakers, compressed"
"raising agent [sodium bicarbonate (e500ii)]","Baking powder"
"sodium ascorbate  e301","Apple pectin"
"cheese (milk); water","Milk, whole, 3.5 % fat"
"sweetened dried cranberry","Cranberry, raw"
"fruit in average","Strawberry, raw"
"parsley extracts","Parsley, dried"
"frisee","Lettuce, looseleaf, raw"
"emulsifier (e322 (soya lecithin))","Apple pectin"
"bay leaf ground.","Basil, dried"
"brie cheese","Cheese, Brie, 45 % fidm."
"sage - dried","Sage, dried"
"pepper extract","Pepper, sweet, red, raw"
"filled into a natural casing.","Apple pectin"
"raising agent [sodium bicarbonate] charcoal powder","Baking powder"
"calva","Apple pectin"
"free range hard boiled eggs","Eggs, chicken, free-range hens (indoor), raw"
"emulsifying salts emulsifying agents","Salt, table"
"emulsifier  [sunflower lecithin].","Sunflower oil"
"vegetable fibre (chicory white)","Vegetable fat"
"pasteurised cow's milk cream","Cream, cultured, 18 % fat"
"batavia","Apple pectin"
"organic spearmint .","Mint, dried"
"williams pear pulp","Pear, raw"
"bran flakes contains","Corn flakes, average values"
"apricot flavour","Apricot, dried"
"coffeee","Coffee bean, roasted, ground"
"coffee","Coffee bean, roasted, ground"
"peanut roasted","Peanuts, oilroasted and salted"
"cane molasses),granulated sugar,green apple puree (green apple","Molasses"
"cardamom seed","Cardamom"
"beta carotene.","Apple pectin"
"concentrated and /or powdered whey","Whey powder"
"acidity regulator (ascorbic acid)","Apple pectin"
"piquillo peppers","Pepper, sweet, red, raw"
"organic red wine","Wine, red"
"halkidiki pitted olives","Olives, black, without stones, in brine"
"organic bergamot oil","Sunflower oil"
"malt vinegar powder (barley)","Vinegar (Malt)"
"ibrico pork meat","Pork, loin, lean, raw"
"sulphites and celery.","Celery, raw"
"chestnuts","Chestnut, raw"
"garlic powder ht","Garlic, raw"
"bell pepper flakes","Pepper, sweet, red, raw"
"vegetarian medium fat cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"ground turmeric ht","Tamarind"
"e1450","Apple pectin"
"oat base rapeseed oilacidity regulator (dipotassium phosphate)calcium carbonatecalcium phosphatesiodised saltvitamins","Oats, rolled, not enriched"
"sucrose esters of fatty acids","Sugar, white"
"blackberry puree","Blackberry, raw"
"starter culture  animal rennet","Animal fat"
"natural flavour (contains milk).","Milk, whole, 3.5 % fat"
""broken pieces of ""crpes dentelles"""","Apple pectin"
"food grade salt","Salt, table"
"sweet whey powder","Whey powder"
"beef meat","Beef, rump, raw"
"enzyme wheat gluten endo","Wheat, flour, wholemeal"
"cocoa beans from madagascar*","Cocoa butter"
"concentrated purple carrot juice","Carrot, raw"
"unpasteurised milk. shorrocks lanch bomb","Cheese, firm, Danbo, 45 % fidm."
"herbs and spices","Herbs, dried"
"fat-reduced cocoa powder","Cocoa butter"
"gluten free oats","Oats, rolled, not enriched"
"goats curd","Goat milk"
"almond seasoning . peanut coating . colour","Apple pectin"
"carrageenans","Apple pectin"
"anthocyanins and paprika extract","Paprika (powder)"
"mustar seeds","Mustard, yellow, ready made"
"red plum concentrate","Plum, raw"
"carrot and white cabbage","Carrot, raw"
"turkey breast","Turkey, breast, boiled/smoked, sliced"
"cott_pm","Apple pectin"
"duck meat","Duck, flesh only, raw"
"old amsterdam cheese","Cheese, Brie, 45 % fidm."
"charcoal wafers contains","Wafer sticks"
"colour (caramel e150a)","Apple pectin"
"orange flavour","Orange, raw"
"jalapeo powder","Jalapenos"
"iqf red chillies","Pepper, hot chili, raw"
"mycoprotein","Apple pectin"
"organic green tea .","Herbal tea"
"antioxidant( sodium ascorbate)","Baking powder"
"cinnamon.","Cinnamon"
"caramel  contains","Apple pectin"
"swiss cheese","Cheese, Brie, 45 % fidm."
"colorant","Apple pectin"
"coconut oil (sulphites)","Sunflower oil"
"natural sedges","Apple pectin"
"stilton blue cheese (pasteurised cow's milk)","Cheese, Danish Blue, 50 % fidm."
"flavourings.","Apple pectin"
"e-451i","Apple pectin"
"blueberry preparation","Blueberries, raw"
"sweetener from natural origin","Apple pectin"
"hemp","Apple pectin"
"rose petal","Rosemary, dried"
"microbial rennet (fermentation derived)","Animal fat"
"vegetable based rennet","Vegetable fat"
"e500ii","Apple pectin"
"freshly squeezed orange juice","Orange, raw"
"mechanically separeted pork meat","Pulled pork"
"wholmeal wheat flour","Wheat, flour, wholemeal"
"beef stock (water beef stock)","Bouillon, beef, prepared"
"e339","Apple pectin"
"cheshire cheese","Cheese, Brie, 45 % fidm."
"sodium carbonate (e500)","Baking powder"
"chipotle","Ajvar, relish"
"glucono delta-lactone","Apple pectin"
"emulsifier (mono- and diglycerides of fatty acids)","Apple pectin"
"whole egg powder","Eggs, chicken, free-range hens (indoor), raw"
"flavour enhancer [mono sodium glutamate]","Baking powder"
"madagascan cocoa beans fermented with fruit","Cocoa butter"
"adjunct culture","Yeast, bakers, compressed"
"brillat savarin cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"peanuts |salt |sunflower oil","Peanuts, oilroasted and salted"
"glucose- fructose syrup","Syrup, kitchen"
"sage & onion stuffing mix","Onion, raw"
"preservative e1105","Apple pectin"
"apricot pulp","Apricot, dried"
"e333iii","Apple pectin"
"sorbic acis","Apple pectin"
"mangoes","Mango, raw"
"malt vinegar (barley)","Vinegar (Malt)"
"rice syrup","Syrup, kitchen"
"modified maize starch. natural flavouring extracts","Starch (corn)"
"butter (milk)allergy advice","Butter, salt added"
"butter (milk)","Butter, salt added"
"acidity regulator (glucono delta lactone)","Apple pectin"
"rhubarb yogurt","Yogurt plain, whole milk"
"st nectaire cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"crushed chillies.","Pepper, hot chili, raw"
"original - milk","Milk, whole, 3.5 % fat"
"jalapeno chilli","Jalapenos"
"beef hearts","Beef, rump, raw"
"peter's yard sourdough crispbread","Bread-crumbs"
"cottonseed oil","Sunflower oil"
"vitamin mix","Apple pectin"
"colour (e120)","Apple pectin"
"garlic oil.","Garlic in oil"
"hens eggs","Eggs, chicken, free-range hens (indoor), raw"
"red bell peppers","Pepper, sweet, red, raw"
"grand marnier","Brandy, cognac"
"salt anti-caking agent [sodium ferrocyanide (e535)]","Salt, table"
"culture.  cheddar wookey hole","Cheese, firm, Danbo, 45 % fidm."
"lysozyme (egg) protein","Eggs, chicken, free-range hens (indoor), raw"
"cold pressed lemon extract","Lemon juice"
"black truffle paste  <","Truffle"
"rehydrated garlic","Garlic, raw"
"camembert le fin normand past ( cows milk)","Cheese, Brie, 45 % fidm."
"stater culture","Yeast, bakers, compressed"
"turmeric (may contains sulphites)","Tamarind"
"salt (mineral) 0.31","Salt, table"
"mixed pitted olives","Olives, black, without stones, in brine"
"yeast.","Yeast, bakers, compressed"
"quail eggs","Eggs, chicken, free-range hens (indoor), raw"
"soybean paste","Beans, soy, dried, raw"
"apricot preparation sugar","Apricot, raw"
"tri-calcium phosphate","Apple pectin"
"canellini beans","White beans"
"salami milano .","Sausage, salami"
"pasteurised cows milk  contain","Milk, whole, 3.5 % fat"
"vine leaf","Chard"
"fresh double cream (milk)","Cream, cultured, 18 % fat"
"acidity regulator(e330)","Apple pectin"
"jalapeno powder","Jalapenos"
"manchego cheese","Cheese, Brie, 45 % fidm."
"pasteurised skimmed condensed cows milk","Milk, partly skimmed, 1.5 % fat"
"tricalcium citrate (e330)","Apple pectin"
"armagnac brandy","Brandy, cognac"
"hickory smoke seasoning","Paprika (powder)"
"carbon dioxide.","Apple pectin"
"keens cheddar cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"white chocolate","Chocolate (white)"
"annatto norbixin e160b(ii).","Apple pectin"
"emulsifier [mono-& di-glycerides (e471)]","Apple pectin"
"sodium polyphosphate","Baking powder"
"large kalamata pitted olives","Olives, black, without stones, in brine"
"gum arabic .","Apple pectin"
"stabilizer [d-sorbitol]","Apple pectin"
"antioxidant [sulphur dioxide (e220)]","Apple pectin"
"madagascan vanilla pods","Vanilla beans"
"liquid smoke flavouring","Paprika (powder)"
"thyme fresh","Thyme, dried"
"creta","Apple pectin"
"quince pear","Pear, raw"
"alcohol (evaporates during baking)","Brandy, cognac"
"chanterelle mushrooms","Mushroom, raw"
"charcoal & rye - milk","Cheese, firm, Danbo, 45 % fidm."
"preservative (e250).made with 80g of pork per 100g of finished product","Pork, loin, lean, raw"
"hemicellulases","Apple pectin"
"stabiliser(carrageenan)","Apple pectin"
"green pitted mammoth olives","Olives, green, pickled, canned"
"preservative* (trace) [natamycin (e235)].","Apple pectin"
"microbial starter culture","Yeast, bakers, compressed"
"young jack fruit","Figs"
"soya protein","Beans, soy, dried, raw"
"barley malt vinegar","Vinegar (Malt)"
"hazelnuts from italy","Hazelnut, dried"
"wheat germ","Wheat, flour, wholemeal"
"gluten.","Gluten (wheat)"
"fat reduced cocoa","Cocoa butter"
"organic garlic","Garlic, raw"
"sweetened dried cranberries ], mature cheddar, pasteurised cow's milk, salt, vegetable rennet, stilton, pasteurised cows milk, salt, mould powder,vegetarian rennet, starter culture, camembert, pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture.","Cheese, firm, Danbo, 45 % fidm."
"white grape vinegar(sulphites)","Sherry vinegar"
"antioxidant [sodium ascorbate (e301)].","Apple pectin"
"glazing agents  contains","Apple pectin"
"45","Apple pectin"
"stabiliser (locust bean gum).","Water, tap, drinking, average values"
"sodium ribonucleotide","Apple pectin"
"spearmint","Baking powder"
"walnutses","Mint, dried"
"locust bean gum e410","Apple pectin"
"vegetable fibre","Apple pectin"
"vegeterian rennet","Vegetable fat"
"roasted wheat","Animal fat"
"titanium dioxide e171","Wheat, flour, wholemeal"
"processing agent","Apple pectin"
"chopped sundried tomatoes contains  water","Sundried tomatoes"
"mirin","Sundried tomatoes"
"mozzarella cheese (milk)","Cheese, semihard, Mozzarella, 30 % fidm."
"smoke powder","Paprika (powder)"
"soft wheat flour.","Paprika (powder)"
"pasteurised organic cows milk","Wheat, flour, wholemeal"
"shiitakes","Milk, whole, 3.5 % fat"
"kidderton ash","Apple pectin"
"rye leaven type 85","Rye flour, dark, whole meal"
"chilli peppers","Pepper, hot chili, raw"
"pave d'affinois cheese (milk)","Cheese, semihard, Mozzarella, 30 % fidm."
"chipotle tabasco","Tabasco"
"pitted gordal olives","Olives, green, pickled, canned"
"silverskin pickled onions","Olives, green, pickled, canned"
"natural quince flavouring","Goat milk"
"sheep milk","Goat milk"
"roquette","Goat milk"
"organic oregano","Oregano, dried"
"salt contains amticaking agent sodium ferrocyanide (e535)","Salt, table"
"extract.","Salt, table"
"smoked and salted almonds","Almonds"
"vanilla.","Almonds"
"e509","Vanilla beans"
"black beans {soy beans","Black beans"
"lime juice.","Black beans"
"whey cream","Lime juice"
"giant corn","Cream, cultured, 18 % fat"
"raw cow's milk. cashel blue","Cheese, Danish Blue, 50 % fidm."
"burn sugar (wheat)","Cheese, Danish Blue, 50 % fidm."
"sourdough(rye flour)","Rye flour, dark, whole meal"
"gluconodelta-lactone; firming agent","Yogurt plain, whole milk"
"raspberry yogurt - milk","Yogurt plain, whole milk"
"lactic starter cultures & surface flora","Yogurt plain, whole milk"
"sweetener (saccharin)","Sugar, white"
"stabiliser [sodium alginate e401)], preservative [potassium sorbate (e202)], ,colour [natural carotene (e160a)], vitamin a, vitamin d.","Apple pectin"
"honey powder","Honey"
"gelling agent (e440)","Apple pectin"
"heritage breed pork fat","Pork, loin, lean, raw"
"vegetable oils (rapeseed)","Pork, loin, lean, raw"
"mushrooms (agaricus bisporus)","Mushroom, raw"
"sodium bicarbonate (e500ii)","Baking powder"
"acidity regulator (citric acid) laurel","Baking powder"
"yellow mustard seed","Mustard, yellow, ready made"
"clementines","Tangerine, raw"
"caramel colour","Apple pectin"
"calcium chloride; mint natural flavor","Mint, dried"
"yeast and  mould culture","Yeast, bakers, compressed"
"preservative [potassium sorbate (e202)] lactic culture","Yeast, bakers, compressed"
"red peer iqf","Apple pectin"
"curing salt  organic red wine  organic smoked paprika","Wine, red"
"fermented maize starch","Starch (corn)"
"acidity regulator (citric acid).","Apple pectin"
"orange flavouring","Orange, raw"
"maltodextrine","Apple pectin"
"black truffle cheddar - godminster vintage organic cheddar","Cheese, firm, Danbo, 45 % fidm."
"curing mix","Apple pectin"
"e-452i","Apple pectin"
"dried rosemary.","Rosemary, dried"
"cocoa beans from ghana","Cocoa, powder"
"gluten free flour","Rye flour, dark, whole meal"
"peanuts runners","Peanuts, oilroasted and salted"
"toasted hops","Apple pectin"
"camembert gillot artisan(unpasteurised cows milk)","Cheese, Brie, 45 % fidm."
"cows cream","Cream, cultured, 18 % fat"
"dried morels","Apple pectin"
"malt vinegar barley","Vinegar (Malt)"
"sweetener from natural origin.","Sugar, white"
"colour [beta carotene]","Apple pectin"
"psyllium husk powder","Apple pectin"
"bananas","Banana, raw"
"schnapps","Brandy, cognac"
"ground ginger ht   flavouring","Ginger root, raw"
"antioxidant (e300)","Apple pectin"
"blueberry preparation sugar","Blueberries, raw"
"pasteurised liquid whole egg","Eggs, chicken, free-range hens (indoor), raw"
"vegetarian hard cheese","Cheese, Brie, 45 % fidm."
"thermalised goat's milk","Goat milk"
"worcester sauce  mustard","Vinegar (Malt)"
"alpha amylase","Apple pectin"
"dipotassium phosphate","Apple pectin"
"blue stilton","Cheese, Danish Blue, 50 % fidm."
"whole wheat flour","Wheat, flour, wholemeal"
"calcium chloride  (e509)","Apple pectin"
"butlers secret mini 20g","Butter, salt added"
"black peppercorn","Pepper, black"
"pepper","Pepper, sweet, red, raw"
"onion kibbled","Onion, raw"
"mould culture.","Yeast, bakers, compressed"
"herb (parsley)","Parsley, dried"
"fresh double cream","Cream, cultured, 18 % fat"
"potassium. sorbate.","Apple pectin"
"wholemeal wheat flour), malted barley flour, lecithin, hemicellulose, ascorbic acid, alpha-amylase","Wheat, flour, wholemeal"
"spice and herb extracts (contain celery)","Herbs, dried"
"goat log cheese","Cheese, semihard, Feta, 40 % fidm"
"hi-oleicpeanuts","Apple pectin"
"caramelised onions","Onion, raw"
"plain caramel e150a","Apple pectin"
"lemon oil","Lemon juice"
"sheep milk 97","Goat milk"
"emulsifying salts sodium citrate (e331)","Apple pectin"
"barleymalt flavouring","Apple pectin"
"cider vinegar powder","Apple cider vinegar"
"soy lecithin (e322)","Apple pectin"
"culture. organic bath soft  cheese","Cheese, Danish Blue, 50 % fidm."
"e472(e). flour treatment agents","Apple pectin"
"penicillium roqufeort","Raclette"
"sodium ascorbate. preservatives","Baking powder"
"green mammath olives contains","Olives, black, without stones, in brine"
"culture & moulds","Yeast, bakers, compressed"
"caramel*.","Chocolate, milk"
"rosary goat cheese (goat's milk)","Cheese, semihard, Feta, 40 % fidm"
"cheese (goat milk)","Cheese, semihard, Feta, 40 % fidm"
"cheese (ewes milk)","Cheese, semihard, Feta, 40 % fidm"
"cheese (sheeps milk)","Cheese, semihard, Feta, 40 % fidm"
"cheese (unpasteurised milk)","Cheese, firm, Danbo, 45 % fidm."
"taleggio cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"blue cheese (milk)","Cheese, Danish Blue, 50 % fidm."
"soft cheese (milk)","Cheese, Cream, 60 % fidm."
"ash (e153)","Apple pectin"
"truffle essence","Truffle"
"crystallised ginger","Ginger root, raw"
"salmon (fish)","Salmon, Atlantic, wild, raw"
"matured salted anchovies [fish]","Anchovies"
"tahini paste (sesame paste)","Tahin, sesame paste"
"garlic and herbs .","Garlic, raw"
"e102*","Apple pectin"
"organic white pepper.","Pepper, black"
"strawberry granules","Strawberry, raw"
"mature cheddar cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"natural aroma","Apple pectin"
"concentrated butter (milk).","Buttermilk"
"brazil cocoa beans fermented with fruit","Cocoa butter"
"*colouring","Apple pectin"
"emulsifier [lecithin (e322)]","Apple pectin"
"kalamata pitted olives","Olives, black, without stones, in brine"
"salt. fig conserve","Salt, table"
"freshly pressed apple juice","Apple juice (no packaging)"
"basil paste contains basil","Basil, fresh"
"charcoal biscuit","Biscuit, wholemeal, digestive type"
"*smoked with oak chip","Paprika (powder)"
"7","Water, tap, drinking, average values"
"lemon flavouring","Lemon juice"
"annatto e160b","Apple pectin"
"glucono-delta-lactone; acid","Apple pectin"
"salt brine","Salt, table"
"sprulina","Seaweed"
"sage. filled into a non uk based protein casing","Sage, dried"
"pickled onion","Onion, raw"
"firming agent (calcium chloride)","Apple pectin"
"chili flakes","Pepper, hot chili, raw"
"e-450i","Apple pectin"
"oak ash mix","Apple pectin"
"pottasium nitrate","Apple pectin"
"ras el hanout","Apple pectin"
"emulsifier (e322)","Apple pectin"
"allspice.","Spices"
"annatto (norbixin) =","Apple pectin"
"wensleydale & cranberries","Cheese, firm, Danbo, 45 % fidm."
"cherry yogurt","Cherry, raw"
"clove oil","Cloves"
"cooked grape must","Grape, raw"
"korkers pork sausage","Pork, loin, lean, raw"
"soyaoil 7","Soybean oil"
"disodium diphosphate","Baking powder"
"e472a","Apple pectin"
"acidifying agent","Apple pectin"
"malt extract (gluten)","Barley malt extract"
"permeate","Apple pectin"
"emulsifying salt (e339)","Apple pectin"
"strawberries in syrup","Strawberry, raw"
"e 150a","Apple pectin"
"calcium (calcium carbonate)","Apple pectin"
"green peppers","Pepper, sweet, red, raw"
"beetroot and apple chutney","Apple juice (no packaging)"
"cheese cultures.","Yeast, bakers, compressed"
"raisins sultana","Raisins, seedless"
"golden syrup (partially inverted refiners syrup)","Syrup, kitchen"
"pork sausage meat","Pork, loin, lean, raw"
"wensleydale and cranberries","Cheese, firm, Danbo, 45 % fidm."
"salt  contains anti-caking agent [sodium ferrocyanide]","Salt, table"
"salt. damson plum conserve","Plum, raw"
"wensleydale and cranberry cheese","Cheese, firm, Danbo, 45 % fidm."
"tartrazine","Apple pectin"
"caogulant","Apple pectin"
"somerset camember (milk)","Cheese, Brie, 45 % fidm."
"cashel blue cheese","Cheese, Danish Blue, 50 % fidm."
"whole fennel seeds","Fennel seeds"
"modena balsamic vinegar","Balsamic vinegar"
"dijon mustard .","Mustard, yellow, ready made"
"integral black venus rice","Basmati rice"
"goat's whole milk","Goat milk"
"colour (paprika extract)","Paprika (powder)"
"elderberry juice concentrate.","Elderberry, raw"
"cajun seasoning","Spices"
"hass avocado","Avocado, raw"
"chicken*","Chicken, whole"
"mascarpone (milk)","Mascarpone"
"caraway seed","Cardamom"
"malted crunchy cereals  18","Barley malt extract"
"pea fibre.","Peas, green, raw"
"fennel powder","Fennel, root, raw"
"citric acid).","Apple pectin"
"preservative (potassium sorbate).","Apple pectin"
"rehydrated peppers","Pepper, sweet, red, raw"
"whole soya bean","Beans, soy, dried, raw"
"lactic acid culture.","Yeast, bakers, compressed"
"sugar cane vinegar","Apple cider vinegar"
"costwold brie cheese (pasteurised cow's milk).","Cheese, Brie, 45 % fidm."
"preservative (sorbic acid)","Apple pectin"
"irish porter (barley)","Cheese, firm, Danbo, 45 % fidm."
"diced pear","Pear, raw"
"paprika extract. stabiliser","Paprika (powder)"
"silica dioxide","Apple pectin"
"porkmade with 140g of raw pork per 100g of finished product.","Pork, loin, lean, raw"
"concentrated butter (milk) 6","Butter, salt added"
"sustainable palm","Palm oil"
"emulsifier (soy lecithin (e322))","Apple pectin"
"pectin(e440)","Apple pectin"
"dark chocolate chips","Chocolate, dark"
"coastal cheddar cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"antioxidant [sodium ascorbate]","Baking powder"
"colour [e120]","Apple pectin"
"aspartame","Apple pectin"
"cashel blue (milk).","Cheese, Danish Blue, 50 % fidm."
"modified maize starch free range egg yolk powder","Starch (corn)"
"barbers cheddar (milk)","Cheese, firm, Danbo, 45 % fidm."
"sugar infused strawberries","Strawberry, raw"
"stabiliser [diphosphate]","Apple pectin"
"shorrocks bombs(milk)","Cheese, firm, Danbo, 45 % fidm."
"toasted sesame oil","Sunflower oil"
"cinnamon oil","Sunflower oil"
"iberico pork meat","Air-dried meat"
"pasteursied cows milk","Milk, whole, 3.5 % fat"
"spices extract","Spices"
"non sugar","Sugar, white"
"rehydrated skimmed milk","Milk, partly skimmed, 1.5 % fat"
"diced red peppers","Pepper, sweet, red, raw"
"black summer truffles","Truffle"
"e122*","Apple pectin"
"luna","Apple pectin"
"cinammon","Cinnamon"
"philadelphia","Cheese, Cream, 60 % fidm."
"stoneground wholemeal flour  (wheat)","Wheat, flour, wholemeal"
"wine vinegar*","Sherry vinegar"
"ashmore cheese powder (milk).","Cheese, firm, Danbo, 45 % fidm."
"flavour enhancer","Apple pectin"
"bay leaf/s.","Basil, dried"
"olive mix","Olives, black, without stones, in brine"
"urfa chilli","Pepper, hot chili, raw"
"paprika powder","Paprika (powder)"
"skimmed cows milk","Milk, partly skimmed, 1.5 % fat"
"pasteurised whole milk","Milk, whole, 3.5 % fat"
"watersalted black beans","Black beans"
"concentrated tomato pure","Tomato paste, concentrated"
"thickener [carrageenan]","Apple pectin"
"banana flavouring.","Apple pectin"
"white truffle","Truffle"
"sweet and sour cherry juice from concentrate","Cherry, raw"
"blue poppy seeds.","Sesame seeds"
"organic peppermint","Mint, dried"
"vitamins & minerals","Apple pectin"
"malic acid","Apple pectin"
"northumberland original cheese (cow milk)","Cheese, firm, Danbo, 45 % fidm."
"mashed garlic","Garlic, raw"
"spelt & poppy - spelt wheat flour","Wheat, flour, wholemeal"
"reconstituted buttermilk","Buttermilk"
"beta-carotene.","Apple pectin"
"honey and oat biscuits","Honey"
"organic cayenne pepper","Pepper, hot chili, raw"
"garlic powder antioxidant (sodium ascorbate)","Garlic, raw"
"diced swede","Turnip, raw"
"acidity regulator (e300)","Apple pectin"
"caramel (e150a)","Apple pectin"
"westcombe cheddar (raw milk)","Cheese, firm, Danbo, 45 % fidm."
"thickener .","Apple pectin"
"full fat soft cheese (milk)","Cheese, Cream, 60 % fidm."
"soya oil","Soybean oil"
"whole egg originated from chicken eggs","Eggs, chicken, free-range hens (indoor), raw"
"rennet contains e211 (preservative)","Animal fat"
"summer truffle paste","Truffle"
"caramel e150d.","Apple pectin"
"williams pear pure  17","Pear, raw"
"nutmeg ground","Nutmeg"
"concentrated carrot juice","Carrot, raw"
"e161b.","Apple pectin"
"ground celery","Celery, raw"
"danish blue cheese (milk).","Cheese, Danish Blue, 50 % fidm."
"salt dijon","Salt, table"
"cheddar(milk)","Cheese, firm, Danbo, 45 % fidm."
"peppadew peppers","Pepper, sweet, red, raw"
"mild cheddar mini (milk) babybel mini (cows milk)","Cheese, firm, Danbo, 45 % fidm."
"extra virgin olie oil","Sunflower oil"
"vitamin b1(thiamin)","Apple pectin"
"butter beans","White beans"
"whole basil","Basil, fresh"
"mustard seed dijon","Mustard, yellow, ready made"
"colouring agent [vegetable ash]","Apple pectin"
