,Supplier,Product Code,Product Name,Case Size,Ingredients,MissingName,MatchedName,Main,CO2perKG
2189,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141C20,OXFORD BLUE WEDGE 200G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2190,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141C20X10,OXFORD BLUE WEDGE 10 X 200G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2191,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141C25,OXFORD BLUE WEDGE 250G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2192,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W20X20,OXFORD BLUE WEDGE 20G X 20,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2193,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W20XH,OXFORD BLUE WEDGE 100X20G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2194,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W25X40,OXFORD BLUE WEDGE 40 X 25G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2195,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W25XH,OXFORD BLUE WEDGE 100X25G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2196,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W25XHS,OXFORD BLUE WEDGE 100X25G SHORT WEDGE,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2197,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W30X20,OXFORD BLUE WEDGE 20 X 30G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2198,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W30X40,OXFORD BLUE WEDGE 40 X 30G TUB,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
