Kategorie,Name DE,Name EN,COâ‚‚ / 1.6FU (ohne Flug),kg CO2 / kg (ohne Flug),CO2 Base Value [g],Summe Transport fÃ¼r 1.6 FU,CO2 Land Transport [g],CO2 Sea Transport [g],CO2 Air Transport [g],Food Unit,Energy [kcal],kcal fÃ¼r 1.6FU,Gewicht fÃ¼r 1.6 FU,Name FR
spices & condiments,Vegetable stock,Vegetable stock,,2.0505,,,,,,,,,,
spices & condiments,Barley malt extract,Barley malt extract,,0.8185,,,,,,,,,,
spices & condiments,Spices,Spices,,0.6453,,,,,,,,,,
spices & condiments,Raspberry vinegar,Raspberry vinegar,,2.5219,,,,,,,,,,
spices & condiments,Cardamom,Cardamom,,0.6453,,,,,,,,,,
starches & bread,Starch (potato),Starch (potato),,1.5011,,,,,,,,,,
spices & condiments,"Chervil, dried","Chervil, dried",,0.2119,,,,,,,,,,
spices & condiments,"Coriander, dried","Coriander, dried",,0.4115,,,,,,,,,,
spices & condiments,"Herbs, dried","Herbs, dried",,0.6453,,,,,,,,,,
beverages,Herbal tea,Herbal tea,,1.7879,,,,,,,,,,
spices & condiments,Cumin,Cumin,,0.6453,,,,,,,,,,
spices & condiments,Turmeric,Turmeric,,0.6453,,,,,,,,,,
beverages,Lime juice,Lime juice,,1.7038,,,,,,,,,,
spices & condiments,Laurel,Laurel,,0.3181,,,,,,,,,,
spices & condiments,Lovage,Lovage,,0.2119,,,,,,,,,,
spices & condiments,Marjoram,Marjoram,,0.3181,,,,,,,,,,
spices & condiments,Molasses,Molasses,,1.1735,,,,,,,,,,
spices & condiments,"Mint, dried","Mint, dried",,0.3181,,,,,,,,,,
spices & condiments,Nutmeg,Nutmeg,,2.4461,,,,,,,,,,
spices & condiments,Cloves,Cloves,,0.2646,,,,,,,,,,
spices & condiments,"Oregano, dried","Oregano, dried",,0.2881,,,,,,,,,,
spices & condiments,Paprika (powder),Paprika (powder),,4.2141,,,,,,,,,,
spices & condiments,"Parsley, dried","Parsley, dried",,0.2581,,,,,,,,,,
spices & condiments,Rice vinegar,Rice vinegar,,3.5337,,,,,,,,,,
spices & condiments,"Rosemary, dried","Rosemary, dried",,0.31,,,,,,,,,,
spices & condiments,Saffron,Saffron,,0.685,,,,,,,,,,
spices & condiments,"Sage, dried","Sage, dried",,0.3981,,,,,,,,,,
spices & condiments,Salt,Salt,,0.32,,,,,,,,,,
spices & condiments,Sambal oelek,Sambal oelek,,1.0537,,,,,,,,,,
spices & condiments,"Chives, dried","Chives, dried",,0.3787,,,,,,,,,,
spices & condiments,Mustard seeds,Mustard seeds,,4.7844,,,,,,,,,,
spices & condiments,Sherry vinegar,Sherry vinegar,,2.9684,,,,,,,,,,
spices & condiments,Starch (corn),Starch (corn),,1.2062,,,,,,,,,,
spices & condiments,Star anise,Star anise,,0.6395,,,,,,,,,,
spices & condiments,Sweet paprika,Sweet paprika,,0.6453,,,,,,,,,,
spices & condiments,Licorice,Licorice,,0.6453,,,,,,,,,,
spices & condiments,Tamarind,Tamarind,,1.77,,,,,,,,,,
spices & condiments,"Thyme, dried","Thyme, dried",,0.31,,,,,,,,,,
spices & condiments,Dextrose,Dextrose,,4.7602,,,,,,,,,,
spices & condiments,Vanilla beans,Vanilla beans,,13.9128,,,,,,,,,,
spices & condiments,Juniper berries,Juniper berries,,0.4619,,,,,,,,,,
Confectionary,Chocolate (white),Chocolate (white),,4.2772,,,,,,,,,,
starches & bread,Starch (wheat),Starch (wheat),,0.8535,,,,,,,,,,
beverages,Vermouth,Vermouth,,2.9044,,,,,,,,,,
spices & condiments,Cinnamon,Cinnamon,,0.6425,,,,,,,,,,
spices & condiments,Lemon balm,Lemon balm,,0.3181,,,,,,,,,,
spices & condiments,Lemon juice,Lemon juice,,1.7018,,,,,,,,,,
starches & bread,Amaranth,Amaranth,,0.3695,,,,,,,,,,
starches & bread,Basmati rice,Basmati rice,,3.0337,,,,,,,,,,
starches & bread,Puff pastry (vegetable fats),Puff pastry (vegetable fats),,1.0885,,,,,,,,,,
starches & bread,Buckwheat,Buckwheat,,0.8435,,,,,,,,,,
starches & bread,Buckwheat flour,Buckwheat flour,,0.7835,,,,,,,,,,
starches & bread,Couscous,Couscous,,0.7835,,,,,,,,,,
starches & bread,Spelled flour,Spelled flour,,0.8735,,,,,,,,,,
starches & bread,Spelled wholemeal,Spelled wholemeal,,0.3334,,,,,,,,,,
vegetables & mushrooms,Early potatoes,Early potatoes,,0.3643,,,,,,,,,,
starches & bread,Glass noodles,Glass noodles,,0.7662,,,,,,,,,,
starches & bread,Gluten (wheat),Gluten (wheat),,2.2435,,,,,,,,,,
starches & bread,Gnocchi (potato),Gnocchi (potato),,0.6945,,,,,,,,,,
starches & bread,Gold millet,Gold millet,,0.6234,,,,,,,,,,
starches & bread,Green spelt wholemeal,Green spelt wholemeal,,0.8735,,,,,,,,,,
starches & bread,Oats,Oats,,0.9856,,,,,,,,,,
starches & bread,Millet,Millet,,0.6136,,,,,,,,,,
vegetables & mushrooms,Potatoes,Potatoes,,0.1443,,,,,,,,,,
starches & bread,Lye roll,Lye roll,,0.9435,,,,,,,,,,
starches & bread,Soft pretzel,Soft pretzel,,0.8335,,,,,,,,,,
starches & bread,Lentil flour,Lentil flour,,1.0098,,,,,,,,,,
starches & bread,Manioc,Manioc,,0.3507,,,,,,,,,,
starches & bread,Multigrain flour,Multigrain flour,,0.6826,,,,,,,,,,
starches & bread,Quinoa,Quinoa,,1.2764,,,,,,,,,,
starches & bread,Rice,Rice,,3.0337,,,,,,,,,,
starches & bread,Risotto rice,Risotto rice,,3.0337,,,,,,,,,,
starches & bread,Rye flour,Rye flour,,0.9074,,,,,,,,,,
starches & bread,Wholemeal,Wholemeal,,0.5535,,,,,,,,,,
starches & bread,Soy flour,Soy flour,,2.9153,,,,,,,,,,
starches & bread,Spaghetti,Spaghetti,,0.9835,,,,,,,,,,
vegetables & mushrooms,Sweet potato,Sweet potato,,0.1693,,,,,,,,,,
starches & bread,Whole-grain,Whole-grain,,0.5535,,,,,,,,,,
starches & bread,Whole-grain bread,Whole-grain bread,,0.9435,,,,,,,,,,
starches & bread,Wholemeal flour,Wholemeal flour,,0.7835,,,,,,,,,,
starches & bread,White flour,White flour,,0.7835,,,,,,,,,,
spices & condiments,Seaweed,Seaweed,,0.8987,,,,,,,,,,
vegetables & mushrooms,Nettles,Nettles,,0.1719,,,,,,,,,,
vegetables & mushrooms,Watercress,Watercress,,0.3181,,,,,,,,,,
vegetables & mushrooms,Butternut,Butternut,,0.0862,,,,,,,,,,
vegetables & mushrooms,Chicory,Chicory,,0.2118,,,,,,,,,,
vegetables & mushrooms,Chinese cabbage,Chinese cabbage,,0.2988,,,,,,,,,,
vegetables & mushrooms,Red oak leaf salad,Red oak leaf salad,,0.2718,,,,,,,,,,
vegetables & mushrooms,Pickles,Pickles,,0.6059,,,,,,,,,,
vegetables & mushrooms,Endive,Endive,,0.2718,,,,,,,,,,
vegetables & mushrooms,Vegetables,Vegetables,,0.349,,,,,,,,,,
vegetables & mushrooms,Pumpkin,Pumpkin,,0.0862,,,,,,,,,,
vegetables & mushrooms,Leek,Leek,,0.4122,,,,,,,,,,
vegetables & mushrooms,Chard,Chard,,0.2163,,,,,,,,,,
vegetables & mushrooms,Horseradish,Horseradish,,0.3563,,,,,,,,,,
vegetables & mushrooms,Wood-ear fungus,Wood-ear fungus,,1.6973,,,,,,,,,,
vegetables & mushrooms,Pak choi,Pak choi,,0.2988,,,,,,,,,,
vegetables & mushrooms,Parsnips,Parsnips,,0.177,,,,,,,,,,
vegetables & mushrooms,Peperoncini,Peperoncini,,0.5665,,,,,,,,,,
vegetables & mushrooms,Paprika,Paprika,,0.5941,,,,,,,,,,
vegetables & mushrooms,Chanterelles,Chanterelles,,0.5473,,,,,,,,,,
vegetables & mushrooms,Portulaca,Portulaca,,0.2719,,,,,,,,,,
vegetables & mushrooms,"Radicchio, chicory","Radicchio, chicory",,0.3518,,,,,,,,,,
vegetables & mushrooms,Romanesco,Romanesco,,0.3865,,,,,,,,,,
vegetables & mushrooms,Arugula,Arugula,,0.3518,,,,,,,,,,
vegetables & mushrooms,Sauerkraut,Sauerkraut,,0.5759,,,,,,,,,,
vegetables & mushrooms,Shallot,Shallot,,0.3719,,,,,,,,,,
vegetables & mushrooms,Salsify,Salsify,,0.177,,,,,,,,,,
vegetables & mushrooms,Truffle,Truffle,,1.0473,,,,,,,,,,
vegetables & mushrooms,Wild mushrooms,Wild mushrooms,,0.3673,,,,,,,,,,
vegetables & mushrooms,Courgette (zucchini),Courgette (zucchini),,0.2248,,,,,,,,,,
