Kategorie,Name DE,Name EN,COâ‚‚ / 1.6FU (ohne Flug),kg CO2 / kg (ohne Flug),CO2 Base Value [g],Summe Transport fÃ¼r 1.6 FU,CO2 Land Transport [g],CO2 Sea Transport [g],CO2 Air Transport [g],Food Unit,Energy [kcal],kcal fÃ¼r 1.6FU,Gewicht fÃ¼r 1.6 FU,Name FR
vegetables & mushrooms,"Celery, raw","Celery, raw",,0.3,,,,,,,,,,
vegetables & mushrooms,"Cauliflower, all varieties, raw","Cauliflower, all varieties, raw",,0.71,,,,,,,,,,
vegetables & mushrooms,"Broccoli, raw","Broccoli, raw",,0.71,,,,,,,,,,
vegetables & mushrooms,"Kale, raw","Kale, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Cabbage, white, raw","Cabbage, white, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Brussels sprouts, raw","Brussels sprouts, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Cabbage, red, raw","Cabbage, red, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Cabbage, spring, raw","Cabbage, spring, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Spinach, raw","Spinach, raw",,0.52,,,,,,,,,,
vegetables & mushrooms,"Artichoke, raw","Artichoke, raw",,0.98,,,,,,,,,,
vegetables & mushrooms,"Asparagus, green, raw","Asparagus, green, raw",,0.88,,,,,,,,,,
vegetables & mushrooms,"Lettuce, iceberg (incl. crisphead types), raw","Lettuce, iceberg (incl. crisphead types), raw",,0.59,,,,,,,,,,
vegetables & mushrooms,"Lettuce, looseleaf, raw","Lettuce, looseleaf, raw",,0.59,,,,,,,,,,
vegetables & mushrooms,"Cabbage, Chinese, pak-choi, raw","Cabbage, Chinese, pak-choi, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Cabbage, savoy, raw","Cabbage, savoy, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Cauliflower, frozen","Cauliflower, frozen",,0.84,,,,,,,,,,
vegetables & mushrooms,"Leek, raw","Leek, raw",,0.32,,,,,,,,,,
vegetables & mushrooms,"Spinach, chopped, frozen","Spinach, chopped, frozen",,0.64,,,,,,,,,,
vegetables & mushrooms,"Broccoli, frozen","Broccoli, frozen",,0.84,,,,,,,,,,
legumes,"Beans, wax, raw","Beans, wax, raw",,1.04,,,,,,,,,,
legumes,"Peas, green, raw","Peas, green, raw",,0.67,,,,,,,,,,
legumes,"Green lentils, dried","Green lentils, dried",,1.78,,,,,,,,,,
legumes,"Peas, chick/garbanzo, dry, raw","Peas, chick/garbanzo, dry, raw",,2.23,,,,,,,,,,
